WN18RR, _synset_domain_topic_of_WN18_generic_PPO_simple_embedding_100
([('03464757', 'NO_OP', '03464757'), ('03464757', '_hypernym', '03504420'), ('03504420', '_synset_domain_topic_of', '08199025')], '08199025')
([('08331357', 'NO_OP', '08331357'), ('08331357', '_hypernym', '08331525'), ('08331525', '_synset_domain_topic_of', '08199025')], '08199025')
([('10820790', '_instance_hypernym', '10022111'), ('10022111', '_synset_domain_topic_of', '08083599'), ('08083599', '¬_synset_domain_topic_of', '10840021')], '08083599')
([('01198750', '_hypernym', '01181475'), ('01181475', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06560254')], '08441203')
([('08040522', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08013653'), ('08013653', '_synset_domain_topic_of', '00759694')], '00759694')
([('13541798', '_hypernym', '13459322'), ('13459322', '_synset_domain_topic_of', '06055946'), ('06055946', '¬_synset_domain_topic_of', '00643197')], '06055946')
([('08206460', 'NO_OP', '08206460'), ('08206460', '_hypernym', '08199025'), ('08199025', '¬_synset_domain_topic_of', '10283170')], '08199025')
([('03820318', '_synset_domain_topic_of', '00478262'), ('00478262', '¬_synset_domain_topic_of', '10782471'), ('10782471', '_synset_domain_topic_of', '00467995')], '00467995')
([('09251407', '_has_part', '09375223'), ('09375223', '_synset_domain_topic_of', '06095022'), ('06095022', '¬_synset_domain_topic_of', '09381480')], '06095022')
([('06020737', '¬_hypernym', '06027264'), ('06027264', '_synset_domain_topic_of', '06018465'), ('06018465', '¬_synset_domain_topic_of', '10652954')], '06018465')
([('10304914', '_hypernym', '10136959'), ('10136959', '_derivationally_related_form', '01146793'), ('01146793', '¬_derivationally_related_form', '00464894')], '00464894')
([('04099649', 'NO_OP', '04099649'), ('04099649', '_hypernym', '02798290'), ('02798290', '_synset_domain_topic_of', '08199025')], '08199025')
([('06088995', '¬_hypernym', '06079620'), ('06079620', '_hypernym', '06088995'), ('06088995', '_hypernym', '06084469')], '06084469')
([('03333349', '_hypernym', '03762982'), ('03762982', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '09943541')], '08199025')
([('08098346', '_member_meronym', '09848285'), ('09848285', '_derivationally_related_form', '05977340'), ('05977340', '_hypernym', '06167328')], '05977340')
([('03827107', '¬_has_part', '03085333'), ('03085333', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_synset_domain_topic_of', '00743692')], '06128570')
([('10259348', '_hypernym', '09943239'), ('09943239', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08395682')], '08199025')
([('05718935', '¬_derivationally_related_form', '10339966'), ('10339966', '¬_derivationally_related_form', '07020895'), ('07020895', '¬_synset_domain_topic_of', '02293856')], '07020895')
([('01027662', '¬_member_of_domain_region', '08806897'), ('08806897', '_member_of_domain_region', '10728828'), ('10728828', '_synset_domain_topic_of', '15253139')], '15253139')
([('01698271', '¬_derivationally_related_form', '00929718'), ('00929718', '¬_derivationally_related_form', '01698271'), ('01698271', '¬_hypernym', '01700934')], '00929718')
([('09943541', '¬_hypernym', '10094584'), ('10094584', 'NO_OP', '10094584'), ('10094584', '_synset_domain_topic_of', '08199025')], '08199025')
([('07094093', '_hypernym', '07093895'), ('07093895', '_synset_domain_topic_of', '06170025'), ('06170025', 'NO_OP', '06170025')], '06170025')
([('08334087', '¬_hypernym', '08331525'), ('08331525', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '00057162')], '08199025')
([('01499692', '¬_derivationally_related_form', '04399537'), ('04399537', '_hypernym', '03446832'), ('03446832', '_synset_domain_topic_of', '00464894')], '00464894')
([('10523341', '¬_derivationally_related_form', '08206460'), ('08206460', 'NO_OP', '08206460'), ('08206460', '_synset_domain_topic_of', '08199025')], '08199025')
([('01194125', '_hypernym', '01189282'), ('01189282', '¬_hypernym', '01194225'), ('01194225', '_synset_domain_topic_of', '08441203')], '08441203')
([('03239399', '_derivationally_related_form', '01310964'), ('01310964', '_hypernym', '01310660'), ('01310660', '_derivationally_related_form', '00922327')], '00922327')
([('06023969', '¬_hypernym', '06024230'), ('06024230', '_synset_domain_topic_of', '06018465'), ('06018465', '¬_synset_domain_topic_of', '06021761')], '06018465')
([('06052864', '¬_derivationally_related_form', '10354265'), ('10354265', '¬_derivationally_related_form', '06078978'), ('06078978', '¬_synset_domain_topic_of', '02822055')], '06078978')
([('06552116', '_hypernym', '06551784'), ('06551784', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '01016316')], '08441203')
([('08042183', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08026539'), ('08026539', '_synset_domain_topic_of', '00759694')], '00759694')
([('10648033', '_hypernym', '00004475'), ('00004475', '¬_hypernym', '00015388'), ('00015388', '¬_hypernym', '01315805')], '00015388')
([('13783038', '¬_hypernym', '13798814'), ('13798814', '_synset_domain_topic_of', '06163751'), ('06163751', '_derivationally_related_form', '10269785')], '06163751')
([('05971086', '_hypernym', '06167328'), ('06167328', '¬_hypernym', '05970012'), ('05970012', '_synset_domain_topic_of', '06158346')], '06158346')
([('01183031', '_hypernym', '01182654'), ('01182654', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '00198118')], '08441203')
([('08010364', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08025112'), ('08025112', '_synset_domain_topic_of', '00759694')], '00759694')
([('07226151', 'NO_OP', '07226151'), ('07226151', '_hypernym', '07225857'), ('07225857', '_synset_domain_topic_of', '08199025')], '08199025')
([('01016626', '_derivationally_related_form', '06562802'), ('06562802', 'NO_OP', '06562802'), ('06562802', '_synset_domain_topic_of', '08441203')], '08441203')
([('02278470', '_hypernym', '02278061'), ('02278061', 'NO_OP', '02278061'), ('02278061', '_synset_domain_topic_of', '00766234')], '00766234')
([('10652954', '¬_derivationally_related_form', '06018465'), ('06018465', '¬_synset_domain_topic_of', '06022291'), ('06022291', '_synset_domain_topic_of', '06018465')], '06018465')
([('06750804', '¬_hypernym', '06753299'), ('06753299', 'NO_OP', '06753299'), ('06753299', '_synset_domain_topic_of', '06163751')], '06163751')
([('06543781', '_hypernym', '06479665'), ('06479665', '¬_hypernym', '06532095'), ('06532095', '_synset_domain_topic_of', '08441203')], '08441203')
([('00176874', '¬_derivationally_related_form', '00670105'), ('00670105', 'NO_OP', '00670105'), ('00670105', '_hypernym', '00671351')], '00671351')
([('01754576', '¬_also_see', '01698271'), ('01698271', '¬_hypernym', '01701152'), ('01701152', '_synset_domain_topic_of', '00929718')], '00929718')
([('01191975', 'NO_OP', '01191975'), ('01191975', '¬_hypernym', '01192150'), ('01192150', '_synset_domain_topic_of', '08441203')], '08441203')
([('06026635', 'NO_OP', '06026635'), ('06026635', '_hypernym', '05729036'), ('05729036', '_synset_domain_topic_of', '06018465')], '06018465')
([('04182708', '¬_has_part', '03073977'), ('03073977', '_synset_domain_topic_of', '06123363'), ('06123363', '¬_synset_domain_topic_of', '03105810')], '06123363')
([('06088995', '_hypernym', '06084469'), ('06084469', '¬_synset_domain_topic_of', '00226379'), ('00226379', '_synset_domain_topic_of', '06084469')], '06084469')
([('08389297', '¬_hypernym', '08389572'), ('08389572', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '10094584')], '08199025')
([('01126335', '¬_member_of_domain_region', '09044862'), ('09044862', '_member_of_domain_region', '06727758'), ('06727758', '_synset_domain_topic_of', '08441203')], '08441203')
([('01716619', '_hypernym', '01714208'), ('01714208', '_derivationally_related_form', '00548326'), ('00548326', '_hypernym', '06157326')], '06157326')
([('01714208', '¬_hypernym', '01718535'), ('01718535', '_synset_domain_topic_of', '06157326'), ('06157326', '¬_synset_domain_topic_of', '02332311')], '06157326')
([('03763727', '¬_hypernym', '03470222'), ('03470222', 'NO_OP', '03470222'), ('03470222', '_synset_domain_topic_of', '08199025')], '08199025')
([('06544432', '_derivationally_related_form', '02465297'), ('02465297', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '07207680')], '08441203')
([('08034028', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08026539'), ('08026539', '_synset_domain_topic_of', '00759694')], '00759694')
([('00239024', '¬_has_part', '00463543'), ('00463543', '_has_part', '00239024'), ('00239024', '¬_has_part', '00463543')], '00463543')
([('05957238', '_hypernym', '05956651'), ('05956651', 'NO_OP', '05956651'), ('05956651', '_synset_domain_topic_of', '08441203')], '08441203')
([('01740969', '¬_derivationally_related_form', '03417345'), ('03417345', '_derivationally_related_form', '01740969'), ('01740969', '¬_derivationally_related_form', '00918383')], '00918383')
([('01930482', '_verb_group', '01930117'), ('01930117', '_synset_domain_topic_of', '00298497'), ('00298497', '¬_synset_domain_topic_of', '01863410')], '00298497')
([('08010364', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08017257'), ('08017257', '_synset_domain_topic_of', '00759694')], '00759694')
([('13498404', '¬_hypernym', '13575226'), ('13575226', 'NO_OP', '13575226'), ('13575226', '_synset_domain_topic_of', '06043075')], '06043075')
([('08358963', '_member_meronym', '10702781'), ('10702781', 'NO_OP', '10702781'), ('10702781', '_synset_domain_topic_of', '00759694')], '00759694')
([('00568813', 'NO_OP', '00568813'), ('00568813', '_hypernym', '00568430'), ('00568430', '_synset_domain_topic_of', '00479887')], '00479887')
([('08272352', '_hypernym', '08198398'), ('08198398', '¬_hypernym', '07986381'), ('07986381', '_synset_domain_topic_of', '08199025')], '08199025')
([('08389710', '¬_hypernym', '08389900'), ('08389900', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '00521970')], '08199025')
([('02802544', '_has_part', '08590909'), ('08590909', 'NO_OP', '08590909'), ('08590909', '_synset_domain_topic_of', '00480993')], '00480993')
([('01665638', '¬_derivationally_related_form', '00243918'), ('00243918', '¬_synset_domain_topic_of', '01250474'), ('01250474', '¬_derivationally_related_form', '07651025')], '00243918')
([('05729036', '¬_hypernym', '06026635'), ('06026635', '¬_hypernym', '06027051'), ('06027051', '_synset_domain_topic_of', '06018465')], '06018465')
([('00972621', 'NO_OP', '00972621'), ('00972621', '¬_hypernym', '00975781'), ('00975781', '_synset_domain_topic_of', '08199025')], '08199025')
([('05039106', '¬_hypernym', '05039709'), ('05039709', '_derivationally_related_form', '00025728'), ('00025728', '_synset_domain_topic_of', '06084469')], '06084469')
([('00560293', '_hypernym', '00558883'), ('00558883', '¬_hypernym', '00559329'), ('00559329', '_synset_domain_topic_of', '00469651')], '00469651')
([('06535980', '¬_has_part', '06534132'), ('06534132', '_has_part', '06728726'), ('06728726', '_synset_domain_topic_of', '08441203')], '08441203')
([('02802544', '_has_part', '08590909'), ('08590909', '_synset_domain_topic_of', '00480993'), ('00480993', '¬_synset_domain_topic_of', '02802721')], '00480993')
([('00567044', '_hypernym', '00566298'), ('00566298', 'NO_OP', '00566298'), ('00566298', '¬_has_part', '00482298')], '00482298')
([('08110648', '_hypernym', '07992450'), ('07992450', '¬_hypernym', '08103299'), ('08103299', '_synset_domain_topic_of', '06037666')], '06037666')
([('00084230', '_derivationally_related_form', '00612160'), ('00612160', '¬_synset_domain_topic_of', '01255057'), ('01255057', 'NO_OP', '01255057')], '00612160')
([('07029247', '¬_hypernym', '07029819'), ('07029819', 'NO_OP', '07029819'), ('07029819', '_synset_domain_topic_of', '07020895')], '07020895')
([('01665836', 'NO_OP', '01665836'), ('01665836', '_hypernym', '01664172'), ('01664172', '¬_derivationally_related_form', '00243918')], '00243918')
([('04058239', '¬_hypernym', '03294604'), ('03294604', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_has_part', '06142118')], '06128570')
([('08196024', '_member_meronym', '08195797'), ('08195797', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '10069869')], '08199025')
([('10498816', '_derivationally_related_form', '01076370'), ('01076370', '_synset_domain_topic_of', '00468480'), ('00468480', '¬_synset_domain_topic_of', '00241507')], '00468480')
([('09809538', 'NO_OP', '09809538'), ('09809538', '¬_hypernym', '10551751'), ('10551751', '_synset_domain_topic_of', '08199025')], '08199025')
([('01739814', '_derivationally_related_form', '09779790'), ('09779790', '_derivationally_related_form', '00916464'), ('00916464', 'NO_OP', '00916464')], '00916464')
([('13496017', '_hypernym', '13423922'), ('13423922', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '00570003')], '06084469')
([('01183497', 'NO_OP', '01183497'), ('01183497', '_hypernym', '01182654'), ('01182654', '_synset_domain_topic_of', '08441203')], '08441203')
([('07300092', '_hypernym', '07299569'), ('07299569', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_synset_domain_topic_of', '06637350')], '06128570')
([('06509210', '¬_hypernym', '06510977'), ('06510977', '_synset_domain_topic_of', '06128570'), ('06128570', '¬_synset_domain_topic_of', '06581410')], '06128570')
([('01163620', '¬_hypernym', '01164081'), ('01164081', '_hypernym', '01163620'), ('01163620', '¬_derivationally_related_form', '00922327')], '00922327')
([('10317007', '¬_hypernym', '10316164'), ('10316164', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '03344784')], '08199025')
([('09894143', '¬_hypernym', '09996920'), ('09996920', '_synset_domain_topic_of', '08083599'), ('08083599', '¬_synset_domain_topic_of', '10750640')], '08083599')
([('08389297', '¬_hypernym', '08389572'), ('08389572', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '09938272')], '08199025')
([('01666002', '¬_also_see', '01417868'), ('01417868', '_synset_domain_topic_of', '00243918'), ('00243918', '¬_synset_domain_topic_of', '07681450')], '00243918')
([('13964879', '_hypernym', '13963970'), ('13963970', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '01201429')], '08441203')
([('08132637', '_derivationally_related_form', '02387486'), ('02387486', '_derivationally_related_form', '00883297'), ('00883297', '¬_synset_domain_topic_of', '00611433')], '00883297')
([('09840963', 'NO_OP', '09840963'), ('09840963', '_hypernym', '10249950'), ('10249950', '_synset_domain_topic_of', '08441203')], '08441203')
([('03333349', '_hypernym', '03762982'), ('03762982', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '03333349')], '08199025')
([('06551784', '_hypernym', '06479665'), ('06479665', '¬_hypernym', '06480506'), ('06480506', '_synset_domain_topic_of', '08441203')], '08441203')
([('08195797', '_hypernym', '08198398'), ('08198398', '¬_hypernym', '08404373'), ('08404373', '_synset_domain_topic_of', '08199025')], '08199025')
([('09823287', '¬_member_of_domain_region', '08806897'), ('08806897', '_member_of_domain_region', '02981024'), ('02981024', '_synset_domain_topic_of', '15253139')], '15253139')
([('08395465', '_hypernym', '08279524'), ('08279524', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08395682')], '08199025')
([('00006484', '¬_derivationally_related_form', '02685299'), ('02685299', '_synset_domain_topic_of', '06037666'), ('06037666', '¬_synset_domain_topic_of', '08103299')], '06037666')
