WN18RR, _similar_to_WN18_generic_PPO_simple_embedding_100
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', 'NO_OP', '01020117')], '01020117')
([('01834304', '¬_similar_to', '01835276'), ('01835276', '_hypernym', '01834918'), ('01834918', '¬_hypernym', '01835276')], '01835276')
([('01751353', '¬_similar_to', '01749320'), ('01749320', 'NO_OP', '01749320'), ('01749320', 'NO_OP', '01749320')], '01749320')
([('01835276', '¬_similar_to', '01834304'), ('01834304', '_also_see', '02123812'), ('02123812', '_also_see', '01834304')], '01834304')
([('00320536', '¬_similar_to', '00319534'), ('00319534', 'NO_OP', '00319534'), ('00319534', 'NO_OP', '00319534')], '00319534')
([('00003356', '¬_similar_to', '00003553'), ('00003553', '¬_similar_to', '00003356'), ('00003356', '¬_similar_to', '00003553')], '00003553')
([('01161635', '¬_similar_to', '01160031'), ('01160031', 'NO_OP', '01160031'), ('01160031', 'NO_OP', '01160031')], '01160031')
([('00319534', '¬_similar_to', '00320536'), ('00320536', 'NO_OP', '00320536'), ('00320536', 'NO_OP', '00320536')], '00320536')
([('00064479', '¬_similar_to', '00065184'), ('00065184', '¬_similar_to', '00064479'), ('00064479', '¬_similar_to', '00065184')], '00065184')
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', 'NO_OP', '01020117')], '01020117')
([('00166146', '¬_similar_to', '00167278'), ('00167278', 'NO_OP', '00167278'), ('00167278', '¬_similar_to', '00166146')], '00167278')
([('02505141', 'NO_OP', '02505141'), ('02505141', '¬_similar_to', '02504131'), ('02504131', 'NO_OP', '02504131')], '02504131')
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', 'NO_OP', '01020117')], '01020117')
([('01160031', '¬_similar_to', '01161635'), ('01161635', 'NO_OP', '01161635'), ('01161635', 'NO_OP', '01161635')], '01161635')
([('01894758', '¬_similar_to', '01895630'), ('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630')], '01895630')
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', 'NO_OP', '01020117')], '01020117')
([('00320536', 'NO_OP', '00320536'), ('00320536', '¬_similar_to', '00319534'), ('00319534', 'NO_OP', '00319534')], '00319534')
([('02111684', 'NO_OP', '02111684'), ('02111684', '¬_similar_to', '02112891'), ('02112891', 'NO_OP', '02112891')], '02112891')
([('00003356', '¬_similar_to', '00003553'), ('00003553', '¬_similar_to', '00003356'), ('00003356', '¬_similar_to', '00003553')], '00003553')
([('02517169', '¬_similar_to', '02515341'), ('02515341', 'NO_OP', '02515341'), ('02515341', 'NO_OP', '02515341')], '02515341')
([('00709625', '¬_similar_to', '00708017'), ('00708017', '¬_similar_to', '00709625'), ('00709625', 'NO_OP', '00709625')], '00708017')
([('00167278', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00167278'), ('00167278', '¬_similar_to', '00166146')], '00166146')
([('02341266', '¬_similar_to', '02344381'), ('02344381', 'NO_OP', '02344381'), ('02344381', 'NO_OP', '02344381')], '02344381')
([('00727564', '_derivationally_related_form', '13994148'), ('13994148', '_derivationally_related_form', '00727564'), ('00727564', '¬_similar_to', '00728826')], '00728826')
([('00732960', '¬_similar_to', '00733632'), ('00733632', '¬_similar_to', '00732960'), ('00732960', '¬_similar_to', '00733632')], '00733632')
([('00131018', '¬_similar_to', '00130778'), ('00130778', 'NO_OP', '00130778'), ('00130778', 'NO_OP', '00130778')], '00130778')
([('00319534', '¬_similar_to', '00320536'), ('00320536', 'NO_OP', '00320536'), ('00320536', 'NO_OP', '00320536')], '00320536')
([('01834304', '¬_similar_to', '01835276'), ('01835276', '¬_similar_to', '01834304'), ('01834304', 'NO_OP', '01834304')], '01835276')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('01809655', '¬_similar_to', '01811172'), ('01811172', 'NO_OP', '01811172'), ('01811172', 'NO_OP', '01811172')], '01811172')
([('02393086', '¬_hypernym', '02393489'), ('02393489', '_hypernym', '02393086'), ('02393086', '¬_similar_to', '02392878')], '02392878')
([('01749320', 'NO_OP', '01749320'), ('01749320', '¬_similar_to', '01751353'), ('01751353', 'NO_OP', '01751353')], '01751353')
([('01548193', '¬_similar_to', '01548694'), ('01548694', '_derivationally_related_form', '01069125'), ('01069125', '_hypernym', '01068773')], '01548694')
([('01251128', '¬_similar_to', '01252566'), ('01252566', 'NO_OP', '01252566'), ('01252566', 'NO_OP', '01252566')], '01252566')
([('01116026', '¬_similar_to', '01115349'), ('01115349', 'NO_OP', '01115349'), ('01115349', 'NO_OP', '01115349')], '01115349')
([('01412912', '_verb_group', '01416193'), ('01416193', '_verb_group', '01412912'), ('01412912', '¬_similar_to', '01412415')], '01412415')
([('02559180', '¬_similar_to', '02559862'), ('02559862', 'NO_OP', '02559862'), ('02559862', 'NO_OP', '02559862')], '02559862')
([('00394562', 'NO_OP', '00394562'), ('00394562', '¬_similar_to', '00400101'), ('00400101', 'NO_OP', '00400101')], '00400101')
([('00536304', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('00131018', '¬_similar_to', '00130778'), ('00130778', 'NO_OP', '00130778'), ('00130778', 'NO_OP', '00130778')], '00130778')
([('01412912', '¬_similar_to', '01412415'), ('01412415', '¬_similar_to', '01412912'), ('01412912', '¬_similar_to', '01412415')], '01412415')
([('01161635', '¬_similar_to', '01160031'), ('01160031', 'NO_OP', '01160031'), ('01160031', '¬_similar_to', '01161635')], '01160031')
([('00709625', '¬_similar_to', '00708017'), ('00708017', 'NO_OP', '00708017'), ('00708017', '¬_similar_to', '00709625')], '00708017')
([('02504131', '¬_similar_to', '02505141'), ('02505141', 'NO_OP', '02505141'), ('02505141', '¬_similar_to', '02504131')], '02505141')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_similar_to', '00444519'), ('00444519', '¬_similar_to', '00445169')], '00445169')
([('00727564', '¬_similar_to', '00728826'), ('00728826', 'NO_OP', '00728826'), ('00728826', 'NO_OP', '00728826')], '00728826')
([('01116026', '¬_similar_to', '01115349'), ('01115349', 'NO_OP', '01115349'), ('01115349', 'NO_OP', '01115349')], '01115349')
([('02344381', '¬_similar_to', '02341266'), ('02341266', 'NO_OP', '02341266'), ('02341266', 'NO_OP', '02341266')], '02341266')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('00535844', 'NO_OP', '00535844'), ('00535844', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('01020117', '¬_similar_to', '01017738'), ('01017738', '¬_similar_to', '01020117'), ('01020117', '¬_similar_to', '01017738')], '01017738')
([('01835276', '¬_similar_to', '01834304'), ('01834304', '¬_also_see', '02123812'), ('02123812', 'NO_OP', '02123812')], '01834304')
([('00394562', '¬_similar_to', '00400101'), ('00400101', 'NO_OP', '00400101'), ('00400101', '¬_similar_to', '00394562')], '00400101')
([('02513740', '¬_similar_to', '02515214'), ('02515214', 'NO_OP', '02515214'), ('02515214', 'NO_OP', '02515214')], '02515214')
([('02344381', '¬_similar_to', '02341266'), ('02341266', 'NO_OP', '02341266'), ('02341266', 'NO_OP', '02341266')], '02341266')
([('00733632', '¬_similar_to', '00732960'), ('00732960', 'NO_OP', '00732960'), ('00732960', 'NO_OP', '00732960')], '00732960')
([('01834304', '¬_similar_to', '01835276'), ('01835276', '_hypernym', '01834918'), ('01834918', '¬_member_meronym', '01834702')], '01835276')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('02344381', '¬_similar_to', '02341266'), ('02341266', 'NO_OP', '02341266'), ('02341266', 'NO_OP', '02341266')], '02341266')
([('01412415', '¬_similar_to', '01412912'), ('01412912', 'NO_OP', '01412912'), ('01412912', '_verb_group', '01416193')], '01412912')
([('00535452', '¬_similar_to', '00535844'), ('00535844', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535844')
([('01412912', '¬_similar_to', '01412415'), ('01412415', 'NO_OP', '01412415'), ('01412415', 'NO_OP', '01412415')], '01412415')
([('00003553', '¬_similar_to', '00003356'), ('00003356', 'NO_OP', '00003356'), ('00003356', 'NO_OP', '00003356')], '00003356')
([('02504131', '¬_similar_to', '02505141'), ('02505141', 'NO_OP', '02505141'), ('02505141', '_similar_to', '02504131')], '02505141')
([('01251128', '¬_similar_to', '01252566'), ('01252566', 'NO_OP', '01252566'), ('01252566', 'NO_OP', '01252566')], '01252566')
([('00064479', '¬_similar_to', '00065184'), ('00065184', '¬_similar_to', '00064479'), ('00064479', '¬_similar_to', '00065184')], '00065184')
([('00320536', '¬_similar_to', '00319534'), ('00319534', 'NO_OP', '00319534'), ('00319534', 'NO_OP', '00319534')], '00319534')
([('02166346', '¬_similar_to', '02168699'), ('02168699', '¬_hypernym', '02169023'), ('02169023', '_hypernym', '02168699')], '02168699')
([('02111684', '¬_similar_to', '02112891'), ('02112891', 'NO_OP', '02112891'), ('02112891', '¬_derivationally_related_form', '13428159')], '02112891')
([('01115349', '¬_similar_to', '01116026'), ('01116026', 'NO_OP', '01116026'), ('01116026', 'NO_OP', '01116026')], '01116026')
([('02517169', '¬_similar_to', '02515341'), ('02515341', 'NO_OP', '02515341'), ('02515341', 'NO_OP', '02515341')], '02515341')
([('01160031', '¬_similar_to', '01161635'), ('01161635', 'NO_OP', '01161635'), ('01161635', 'NO_OP', '01161635')], '01161635')
([('00320536', '¬_similar_to', '00319534'), ('00319534', 'NO_OP', '00319534'), ('00319534', 'NO_OP', '00319534')], '00319534')
([('00779374', '¬_similar_to', '00780575'), ('00780575', 'NO_OP', '00780575'), ('00780575', 'NO_OP', '00780575')], '00780575')
([('01412912', '¬_similar_to', '01412415'), ('01412415', 'NO_OP', '01412415'), ('01412415', 'NO_OP', '01412415')], '01412415')
([('02112891', 'NO_OP', '02112891'), ('02112891', 'NO_OP', '02112891'), ('02112891', '¬_similar_to', '02111684')], '02111684')
([('00003356', '¬_similar_to', '00003553'), ('00003553', '¬_similar_to', '00003356'), ('00003356', '¬_similar_to', '00003553')], '00003553')
([('00732960', '¬_similar_to', '00733632'), ('00733632', '¬_similar_to', '00732960'), ('00732960', '¬_similar_to', '00733632')], '00733632')
([('01548193', '¬_similar_to', '01548694'), ('01548694', 'NO_OP', '01548694'), ('01548694', 'NO_OP', '01548694')], '01548694')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_similar_to', '00444519'), ('00444519', '¬_similar_to', '00445169')], '00445169')
([('00319534', '¬_similar_to', '00320536'), ('00320536', '¬_derivationally_related_form', '13480848'), ('13480848', '¬_hypernym', '13495873')], '00320536')
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', '_hypernym', '01018630')], '01020117')
([('00536655', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479'), ('00064479', 'NO_OP', '00064479')], '00064479')
([('01811172', '¬_similar_to', '01809655'), ('01809655', '_also_see', '02047807'), ('02047807', 'NO_OP', '02047807')], '01809655')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('00535452', 'NO_OP', '00535452'), ('00535452', '¬_similar_to', '00535844'), ('00535844', '¬_similar_to', '00535452')], '00535844')
([('00535452', '¬_similar_to', '00535844'), ('00535844', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535844')
([('01749320', 'NO_OP', '01749320'), ('01749320', 'NO_OP', '01749320'), ('01749320', '¬_similar_to', '01751353')], '01751353')
([('00386392', '¬_similar_to', '00392093'), ('00392093', 'NO_OP', '00392093'), ('00392093', 'NO_OP', '00392093')], '00392093')
([('02341266', '¬_similar_to', '02344381'), ('02344381', 'NO_OP', '02344381'), ('02344381', 'NO_OP', '02344381')], '02344381')
([('02166346', '¬_similar_to', '02168699'), ('02168699', 'NO_OP', '02168699'), ('02168699', 'NO_OP', '02168699')], '02168699')
([('01948573', 'NO_OP', '01948573'), ('01948573', '¬_similar_to', '01947266'), ('01947266', 'NO_OP', '01947266')], '01947266')
([('02559862', '¬_similar_to', '02559180'), ('02559180', 'NO_OP', '02559180'), ('02559180', 'NO_OP', '02559180')], '02559180')
([('02559862', 'NO_OP', '02559862'), ('02559862', '¬_similar_to', '02559180'), ('02559180', 'NO_OP', '02559180')], '02559180')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('00400101', '¬_similar_to', '00394562'), ('00394562', 'NO_OP', '00394562'), ('00394562', '¬_similar_to', '00400101')], '00394562')
([('00535844', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('00064479', '¬_similar_to', '00065184'), ('00065184', '¬_similar_to', '00064479'), ('00064479', '¬_similar_to', '00065184')], '00065184')
([('00131018', '¬_similar_to', '00130778'), ('00130778', 'NO_OP', '00130778'), ('00130778', 'NO_OP', '00130778')], '00130778')
([('00168910', '¬_similar_to', '00166146'), ('00166146', 'NO_OP', '00166146'), ('00166146', '¬_similar_to', '00167278')], '00166146')
([('02341266', '¬_similar_to', '02344381'), ('02344381', 'NO_OP', '02344381'), ('02344381', 'NO_OP', '02344381')], '02344381')
([('00536655', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('02515341', '¬_similar_to', '02517169'), ('02517169', 'NO_OP', '02517169'), ('02517169', 'NO_OP', '02517169')], '02517169')
([('00732960', '¬_similar_to', '00733632'), ('00733632', '¬_similar_to', '00732960'), ('00732960', '¬_similar_to', '00733632')], '00733632')
([('01548694', 'NO_OP', '01548694'), ('01548694', 'NO_OP', '01548694'), ('01548694', '¬_similar_to', '01548193')], '01548193')
([('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479'), ('00064479', '_also_see', '01660994')], '00064479')
([('00319534', '¬_similar_to', '00320536'), ('00320536', 'NO_OP', '00320536'), ('00320536', 'NO_OP', '00320536')], '00320536')
([('00392093', '¬_similar_to', '00386392'), ('00386392', 'NO_OP', '00386392'), ('00386392', 'NO_OP', '00386392')], '00386392')
([('01548694', 'NO_OP', '01548694'), ('01548694', 'NO_OP', '01548694'), ('01548694', '¬_similar_to', '01548193')], '01548193')
([('01115349', '¬_similar_to', '01116026'), ('01116026', 'NO_OP', '01116026'), ('01116026', 'NO_OP', '01116026')], '01116026')
([('02393086', '¬_similar_to', '02392878'), ('02392878', 'NO_OP', '02392878'), ('02392878', 'NO_OP', '02392878')], '02392878')
([('02517169', '¬_similar_to', '02515341'), ('02515341', 'NO_OP', '02515341'), ('02515341', 'NO_OP', '02515341')], '02515341')
([('00095873', '¬_similar_to', '00095280'), ('00095280', 'NO_OP', '00095280'), ('00095280', 'NO_OP', '00095280')], '00095280')
([('00535452', 'NO_OP', '00535452'), ('00535452', '¬_similar_to', '00535844'), ('00535844', '¬_similar_to', '00535452')], '00535844')
([('00780575', '¬_similar_to', '00779374'), ('00779374', 'NO_OP', '00779374'), ('00779374', 'NO_OP', '00779374')], '00779374')
([('02341266', '¬_similar_to', '02344381'), ('02344381', 'NO_OP', '02344381'), ('02344381', 'NO_OP', '02344381')], '02344381')
([('02111684', '¬_similar_to', '02112891'), ('02112891', 'NO_OP', '02112891'), ('02112891', 'NO_OP', '02112891')], '02112891')
([('02559180', '¬_similar_to', '02559862'), ('02559862', 'NO_OP', '02559862'), ('02559862', 'NO_OP', '02559862')], '02559862')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', '¬_similar_to', '01894758')], '01894758')
([('02392878', '¬_similar_to', '02393086'), ('02393086', 'NO_OP', '02393086'), ('02393086', 'NO_OP', '02393086')], '02393086')
([('02505141', 'NO_OP', '02505141'), ('02505141', '¬_similar_to', '02504131'), ('02504131', 'NO_OP', '02504131')], '02504131')
([('01252566', '¬_similar_to', '01251128'), ('01251128', 'NO_OP', '01251128'), ('01251128', 'NO_OP', '01251128')], '01251128')
([('02341266', '¬_similar_to', '02344381'), ('02344381', 'NO_OP', '02344381'), ('02344381', 'NO_OP', '02344381')], '02344381')
([('01252566', '¬_similar_to', '01251128'), ('01251128', 'NO_OP', '01251128'), ('01251128', 'NO_OP', '01251128')], '01251128')
([('00728826', '¬_similar_to', '00727564'), ('00727564', 'NO_OP', '00727564'), ('00727564', 'NO_OP', '00727564')], '00727564')
([('02111684', 'NO_OP', '02111684'), ('02111684', '¬_similar_to', '02112891'), ('02112891', 'NO_OP', '02112891')], '02112891')
([('02517169', '¬_similar_to', '02515341'), ('02515341', 'NO_OP', '02515341'), ('02515341', 'NO_OP', '02515341')], '02515341')
([('00779374', '¬_similar_to', '00780575'), ('00780575', 'NO_OP', '00780575'), ('00780575', 'NO_OP', '00780575')], '00780575')
([('01412415', 'NO_OP', '01412415'), ('01412415', 'NO_OP', '01412415'), ('01412415', '¬_similar_to', '01412912')], '01412912')
([('00131018', '¬_similar_to', '00130778'), ('00130778', 'NO_OP', '00130778'), ('00130778', '¬_similar_to', '00131018')], '00130778')
([('02392878', '¬_similar_to', '02393086'), ('02393086', 'NO_OP', '02393086'), ('02393086', '¬_hypernym', '02393489')], '02393086')
([('02559862', 'NO_OP', '02559862'), ('02559862', 'NO_OP', '02559862'), ('02559862', '¬_similar_to', '02559180')], '02559180')
([('02392878', '¬_similar_to', '02393086'), ('02393086', '¬_hypernym', '02393489'), ('02393489', 'NO_OP', '02393489')], '02393086')
([('01894758', '¬_similar_to', '01895630'), ('01895630', 'NO_OP', '01895630'), ('01895630', 'NO_OP', '01895630')], '01895630')
([('01252566', '¬_similar_to', '01251128'), ('01251128', 'NO_OP', '01251128'), ('01251128', 'NO_OP', '01251128')], '01251128')
