NELL-995, has_color_NELL_BASE_simple_embedding_250
([('concept_color_mixture', 'concept:thinghascolor', 'concept_color_green'), ('concept_color_green', '¬concept:thinghascolor', 'concept_color_surface'), ('concept_color_surface', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_visualizableobject_head001', 'concept:thinghascolor', 'concept_color_purple'), ('concept_color_purple', '¬concept:thinghascolor', 'concept_color_sky'), ('concept_color_sky', 'concept:thinghascolor', 'concept_color_grey')], 'concept_color_grey')
([('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_blue'), ('concept_color_blue', '¬concept:thinghascolor', 'concept_color_sky'), ('concept_color_sky', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_blue'), ('concept_color_blue', '¬concept:thinghascolor', 'concept_geometricshape_object'), ('concept_geometricshape_object', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_red'), ('concept_color_red', '¬concept:thinghascolor', 'concept_color_flesh'), ('concept_color_flesh', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_purple'), ('concept_color_purple', '¬concept:thinghascolor', 'concept_color_sky'), ('concept_color_sky', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_color_flesh', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_beverage_solution'), ('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_red')], 'concept_color_red')
([('concept_vegetable_green_leaves', 'concept:thinghascolor', 'concept_color_purple'), ('concept_color_purple', '¬concept:thinghascolor', 'concept_visualizableattribute_foliage'), ('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_green'), ('concept_color_green', '¬concept:thinghascolor', 'concept_visualizableobject_background'), ('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_color_blood', 'concept:thinghascolor', 'concept_color_red'), ('concept_color_red', '¬concept:thinghascolor', 'concept_visualizableattribute_foliage'), ('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_color_mixture', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_visualizableattribute_foliage'), ('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_green')], 'concept_color_green')
([('concept_visualizablething_face', 'concept:thinghascolor', 'concept_color_red'), ('concept_color_red', '¬concept:thinghascolor', 'concept_color_hair'), ('concept_color_hair', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_landscapefeatures_water', 'concept:thinghascolor', 'concept_color_red'), ('concept_color_red', '¬concept:thinghascolor', 'concept_color_leaves'), ('concept_color_leaves', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_red'), ('concept_color_red', '¬concept:thinghascolor', 'concept_color_hair'), ('concept_color_hair', 'concept:thinghascolor', 'concept_color_blue')], 'concept_color_blue')
([('concept_vegetable_green_leaves', 'concept:thinghascolor', 'concept_color_scarlet'), ('concept_color_scarlet', '¬concept:thinghascolor', 'concept_color_leaves'), ('concept_color_leaves', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_agriculturalproduct_syrup', 'concept:thinghascolor', 'concept_color_golden_color'), ('concept_color_golden_color', '¬concept:thinghascolor', 'concept_color_mixture'), ('concept_color_mixture', 'concept:thinghascolor', 'concept_color_amber')], 'concept_color_amber')
([('concept_visualizablething_face', 'concept:thinghascolor', 'concept_color_scarlet'), ('concept_color_scarlet', '¬concept:thinghascolor', 'concept_vegetable_green_leaves'), ('concept_vegetable_green_leaves', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_blue'), ('concept_color_blue', '¬concept:thinghascolor', 'concept_color_sky'), ('concept_color_sky', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_color_belly', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_personalcareitem_skin'), ('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_color_tail'), ('concept_color_tail', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_color_hair', 'concept:thinghascolor', 'concept_color_shade'), ('concept_color_shade', '¬concept:thinghascolor', 'concept_visualizablething_face'), ('concept_visualizablething_face', 'concept:thinghascolor', 'concept_color_blue')], 'concept_color_blue')
([('concept_perceptionevent_light', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_color_hair'), ('concept_color_hair', 'concept:thinghascolor', 'concept_color_blue')], 'concept_color_blue')
([('concept_personalcareitem_oil', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_personalcareitem_skin'), ('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_brown')], 'concept_color_brown')
([('concept_color_flesh', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_beverage_solution'), ('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_red')], 'concept_color_red')
([('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_brown'), ('concept_color_brown', '¬concept:thinghascolor', 'concept_color_rice'), ('concept_color_rice', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_color_rice', 'concept:thinghascolor', 'concept_color_brown'), ('concept_color_brown', '¬concept:thinghascolor', 'concept_color_hair'), ('concept_color_hair', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_purple'), ('concept_color_purple', '¬concept:thinghascolor', 'concept_weapon_neck'), ('concept_weapon_neck', 'concept:thinghascolor', 'concept_color_red')], 'concept_color_red')
([('concept_color_tail', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_visualizablething_urine'), ('concept_visualizablething_urine', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_color_leaves', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_vegetable_green_leaves'), ('concept_vegetable_green_leaves', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_weapon_neck', 'concept:thinghascolor', 'concept_color_red'), ('concept_color_red', '¬concept:thinghascolor', 'concept_color_blood'), ('concept_color_blood', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_color_belly', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_color_flesh'), ('concept_color_flesh', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_color_blood', 'concept:thinghascolor', 'concept_color_red'), ('concept_color_red', '¬concept:thinghascolor', 'concept_weapon_neck'), ('concept_weapon_neck', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_purple'), ('concept_color_purple', '¬concept:thinghascolor', 'concept_color_leaves'), ('concept_color_leaves', 'concept:thinghascolor', 'concept_color_green')], 'concept_color_green')
([('concept_color_leaves', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_color_tail'), ('concept_color_tail', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_color_belly', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_color_flesh'), ('concept_color_flesh', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_purple'), ('concept_color_purple', '¬concept:thinghascolor', 'concept_vegetable_green_leaves'), ('concept_vegetable_green_leaves', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_color_tail', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_color_belly'), ('concept_color_belly', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_color_sky', '¬concept:thinghascolor', 'concept_visualizablething_sea'), ('concept_visualizablething_sea', 'concept:thinghascolor', 'concept_color_blue'), ('concept_color_blue', '¬concept:thinghascolor', 'concept_visualizablething_face')], 'concept_color_blue')
([('concept_color_tail', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_beverage_solution'), ('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_visualizablething_face', 'concept:thinghascolor', 'concept_color_scarlet'), ('concept_color_scarlet', '¬concept:thinghascolor', 'concept_vegetable_green_leaves'), ('concept_vegetable_green_leaves', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_color_tail'), ('concept_color_tail', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_blue'), ('concept_color_blue', '¬concept:thinghascolor', 'concept_personalcareitem_skin'), ('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_color_surface', 'concept:thinghascolor', 'concept_color_green'), ('concept_color_green', '¬concept:thinghascolor', 'concept_landscapefeatures_water'), ('concept_landscapefeatures_water', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_visualizablething_face', 'concept:thinghascolor', 'concept_color_shade'), ('concept_color_shade', '¬concept:thinghascolor', 'concept_color_hair'), ('concept_color_hair', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_color_leaves', 'concept:thinghascolor', 'concept_color_scarlet'), ('concept_color_scarlet', '¬concept:thinghascolor', 'concept_visualizablething_face'), ('concept_visualizablething_face', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_visualizableattribute_foliage'), ('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_color_mixture', 'concept:thinghascolor', 'concept_color_brown'), ('concept_color_brown', '¬concept:thinghascolor', 'concept_personalcareitem_oil'), ('concept_personalcareitem_oil', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_color_leaves', 'concept:thinghascolor', 'concept_color_green'), ('concept_color_green', '¬concept:thinghascolor', 'concept_perceptionevent_light'), ('concept_perceptionevent_light', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_color_belly', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_beverage_solution'), ('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_color_leaves'), ('concept_color_leaves', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_vegetable_green_leaves', 'concept:thinghascolor', 'concept_color_scarlet'), ('concept_color_scarlet', '¬concept:thinghascolor', 'concept_visualizablething_face'), ('concept_visualizablething_face', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_personalcareitem_skin'), ('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_red')], 'concept_color_red')
([('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_colors'), ('concept_color_colors', '¬concept:thinghascolor', 'concept_color_leaves'), ('concept_color_leaves', 'concept:thinghascolor', 'concept_color_bronze')], 'concept_color_bronze')
([('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_purple'), ('concept_color_purple', '¬concept:thinghascolor', 'concept_color_leaves'), ('concept_color_leaves', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_purple'), ('concept_color_purple', '¬concept:thinghascolor', 'concept_perceptionevent_light'), ('concept_perceptionevent_light', 'concept:thinghascolor', 'concept_color_blue')], 'concept_color_blue')
([('concept_color_sky', 'NO_OP', 'concept_color_sky'), ('concept_color_sky', '¬concept:thinghascolor', 'concept_visualizablething_sea'), ('concept_visualizablething_sea', 'concept:thinghascolor', 'concept_color_blue')], 'concept_color_blue')
([('concept_weapon_neck', 'concept:thinghascolor', 'concept_color_purple'), ('concept_color_purple', '¬concept:thinghascolor', 'concept_color_hair'), ('concept_color_hair', 'concept:thinghascolor', 'concept_color_red')], 'concept_color_red')
([('concept_color_leaves', 'concept:thinghascolor', 'concept_color_green'), ('concept_color_green', '¬concept:thinghascolor', 'concept_visualizableattribute_foliage'), ('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_bronze')], 'concept_color_bronze')
([('concept_color_mixture', 'concept:thinghascolor', 'concept_color_green'), ('concept_color_green', '¬concept:thinghascolor', 'concept_personalcareitem_skin'), ('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_color_sky', '¬concept:thinghascolor', 'concept_visualizablething_sea'), ('concept_visualizablething_sea', 'concept:thinghascolor', 'concept_color_blue'), ('concept_color_blue', '¬concept:thinghascolor', 'concept_musicinstrument_field')], 'concept_color_blue')
([('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_red'), ('concept_color_red', '¬concept:thinghascolor', 'concept_color_flesh'), ('concept_color_flesh', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_color_surface', 'concept:thinghascolor', 'concept_color_green'), ('concept_color_green', '¬concept:thinghascolor', 'concept_color_mixture'), ('concept_color_mixture', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
