NELL-995, music_artist_genre_NELL_BASE_simple_embedding_150
([('concept_musicartist_allman_brothers', 'concept:musicartistgenre', 'concept_musicgenre_southern_rock'), ('concept_musicgenre_southern_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_grunge')], 'concept_musicgenre_rock')
([('concept_musicartist_misfits', 'concept:musicartistgenre', 'concept_musicgenre_hardcore'), ('concept_musicgenre_hardcore', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk_rock')], 'concept_musicgenre_punk')
([('concept_musicartist_alice_in_chains', 'concept:musicartistgenre', 'concept_musicgenre_grunge'), ('concept_musicgenre_grunge', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_the_rolling_stones')], 'concept_musicgenre_rock')
([('concept_musicartist_metallica', 'concept:musicartistgenre', 'concept_musicgenre_thrash_metal'), ('concept_musicgenre_thrash_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_heavy_metal')
([('concept_musicartist_keane', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_classical')], 'concept_musicgenre_rock')
([('concept_musicartist_kiss', 'concept:musicartistgenre', 'concept_musicgenre_hard_rock'), ('concept_musicgenre_hard_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_manowar')], 'concept_musicgenre_metal')
([('concept_musicartist_the_eagles', 'concept:musicartistgenre', 'concept_musicgenre_classic_rock'), ('concept_musicgenre_classic_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_korn')], 'concept_musicgenre_rock')
([('concept_musicartist_manowar', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_heavy_metal')
([('concept_musicartist_offspring', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_rock_bottom_remainders')], 'concept_musicgenre_rock')
([('concept_musicartist_bad_brains', 'concept:musicartistgenre', 'concept_musicgenre_hardcore_punk'), ('concept_musicgenre_hardcore_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hardcore'), ('concept_musicgenre_hardcore', '¬concept:musicartistgenre', 'concept_musicartist_black_flag')], 'concept_musicgenre_hardcore')
([('concept_musicartist_crass', 'concept:musicartistgenre', 'concept_musicgenre_anarchist_punk'), ('concept_musicgenre_anarchist_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_immortal', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hard_rock')], 'concept_musicgenre_metal')
([('concept_musicartist_low', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_the_eagles')], 'concept_musicgenre_rock')
([('concept_musicartist_emperor', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_stryper')], 'concept_musicgenre_metal')
([('concept_musicartist_immortal', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hair_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_offspring', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_indie')], 'concept_musicgenre_rock')
([('concept_musicartist_darkthrone', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_dimmu_borgir')], 'concept_musicgenre_metal')
([('concept_musicartist_watain', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_testament')], 'concept_musicgenre_metal')
([('concept_musicartist_outkast', 'concept:musicartistgenre', 'concept_musicgenre_hip_hop'), ('concept_musicgenre_hip_hop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rap'), ('concept_musicgenre_rap', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hip_hop')], 'concept_musicgenre_rap')
([('concept_musicartist_pearl_jam', 'concept:musicartistgenre', 'concept_musicgenre_grunge'), ('concept_musicgenre_grunge', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_electro_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_rush', 'concept:musicartistgenre', 'concept_musicgenre_prog'), ('concept_musicgenre_prog', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_progressive_rock'), ('concept_musicgenre_progressive_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_progressive_metal')], 'concept_musicgenre_progressive_rock')
([('concept_musicartist_the_ramones', 'concept:musicartistgenre', 'concept_musicgenre_punk_rock'), ('concept_musicgenre_punk_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_punk')
([('concept_musicartist_godsmack', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_canadian_rock'), ('concept_musicgenre_canadian_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_die_toten_hosen', 'concept:musicartistgenre', 'concept_musicgenre_german_punk'), ('concept_musicgenre_german_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_punk')
([('concept_musicartist_dimmu_borgir', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_arcade_fire', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_jethro_tull')], 'concept_musicgenre_rock')
([('concept_musicartist_bathory', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'NO_OP', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_cradle_of_filth', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'NO_OP', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_third_day', 'concept:musicartistgenre', 'concept_musicgenre_christian_rock'), ('concept_musicgenre_christian_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_britpop')], 'concept_musicgenre_rock')
([('concept_musicartist_hendrix', 'concept:musicartistgenre', 'concept_musicgenre_rock_music'), ('concept_musicgenre_rock_music', '¬concept:musicartistgenre', 'concept_musicartist_zeppelin'), ('concept_musicartist_zeppelin', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_emperor', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_die_toten_hosen', 'concept:musicartistgenre', 'concept_musicgenre_german_punk'), ('concept_musicgenre_german_punk', 'NO_OP', 'concept_musicgenre_german_punk'), ('concept_musicgenre_german_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_mayhem', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_godsmack')], 'concept_musicgenre_metal')
([('concept_musicartist_bee_gees', 'concept:musicartistgenre', 'concept_musicgenre_disco'), ('concept_musicgenre_disco', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_soul')], 'concept_musicgenre_pop')
([('concept_musicartist_sex_pistols', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_the_doors')], 'concept_musicgenre_rock')
([('concept_musicartist_emperor', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_cradle_of_filth')], 'concept_musicgenre_metal')
([('concept_musicartist_satyricon', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'NO_OP', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_helloween', 'concept:musicartistgenre', 'concept_musicgenre_power_metal'), ('concept_musicgenre_power_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_moonspell')], 'concept_musicgenre_metal')
([('concept_musicartist_the_clash', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hard_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_strokes', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_emo')], 'concept_musicgenre_rock')
([('concept_musicartist_misfits', 'concept:musicartistgenre', 'concept_musicgenre_hardcore'), ('concept_musicgenre_hardcore', '¬concept:musicartistgenre', 'concept_musicartist_dead_kennedys'), ('concept_musicartist_dead_kennedys', 'concept:musicartistgenre', 'concept_musicgenre_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_beatles', 'concept:musicartistgenre', 'concept_musicgenre_british_pop'), ('concept_musicgenre_british_pop', '¬concept:musicartistgenre', 'concept_musicartist_girls'), ('concept_musicartist_girls', 'concept:musicartistgenre', 'concept_musicgenre_pop')], 'concept_musicgenre_pop')
([('concept_musicartist_discharge', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hardcore'), ('concept_musicgenre_hardcore', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk')], 'concept_musicgenre_hardcore')
([('concept_musicartist_hawkwind', 'concept:musicartistgenre', 'concept_musicgenre_space_rock'), ('concept_musicgenre_space_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_the_white_stripes')], 'concept_musicgenre_rock')
([('concept_musicartist_fourplay', 'concept:musicartistgenre', 'concept_musicgenre_contemporary_jazz'), ('concept_musicgenre_contemporary_jazz', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_jazz'), ('concept_musicgenre_jazz', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_jazz')
([('concept_musicartist_the_eagles', 'concept:musicartistgenre', 'concept_musicgenre_classic_rock'), ('concept_musicgenre_classic_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_melodic_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_burzum', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'NO_OP', 'concept_musicgenre_black_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_third_day', 'concept:musicartistgenre', 'concept_musicgenre_christian_rock'), ('concept_musicgenre_christian_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_grunge_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_def_leppard', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_cradle_of_filth', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_thrash_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_third_day', 'concept:musicartistgenre', 'concept_musicgenre_christian_rock'), ('concept_musicgenre_christian_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_little_feat')], 'concept_musicgenre_rock')
([('concept_musicartist_mogwai', 'NO_OP', 'concept_musicartist_mogwai'), ('concept_musicartist_mogwai', 'concept:musicartistgenre', 'concept_musicgenre_post_rock'), ('concept_musicgenre_post_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_black_eyed_peas', 'concept:musicartistgenre', 'concept_musicgenre_hip_hop'), ('concept_musicgenre_hip_hop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rap'), ('concept_musicgenre_rap', '¬concept:musicartistgenre', 'concept_musicartist_beastie_boys')], 'concept_musicgenre_rap')
([('concept_musicartist_coldplay', 'concept:musicartistgenre', 'concept_musicgenre_british_rock'), ('concept_musicgenre_british_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_soft_rock')], 'concept_musicgenre_rock')
